accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,associated_with_(not_categorized),grouped_association,subspecies,strain,sample_ID,total_filtered_reads_in_sample,description,solid_fluid,sample_type
AF043303.1,4679,4679,52715,"1728,286600000","1,53074e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
U48704.1,4726,1476,271,"9,190341000","7,79104e+00","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
AF043303.1,4679,4656,45063,"1475,653100000","1,17276e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
U48704.1,4726,1023,215,"7,047640000","5,53970e+00","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
AF043303.1,4679,4679,210350,"6853,976600000","5,88564e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
U48704.1,4726,1693,2110,"68,733826000","5,84511e+01","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AF043303.1,4679,4679,190170,"6239,993700000","4,48346e+03","Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,adeno-associated virus 2,adeno-associated virus 2,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
U48704.1,4726,1493,476,"16,807255000","1,11106e+01","Adeno-associated virus 3 nonstructural protein and capsid protein genes, complete cds, and complete genome",46350,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Mammals and birds,Human and other animals,Adeno-associated virus - 3,Adeno-associated virus - 3,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
AY388617.1,4693,1138,53,"1,668941300","5,98433e-01","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
AF085716.1,4642,3139,79,"2,669634800","2,65917e+00","Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds",82300,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,adeno-associated virus 5,adeno-associated virus 5,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
AY388617.1,4693,3875,454,"14,555140000","1,51157e+01","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
AF085716.1,4642,2409,44,"1,480409600","1,25662e+00","Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds",82300,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,adeno-associated virus 5,adeno-associated virus 5,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AY388617.1,4693,1000,73,"2,329517800","2,06218e+00","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AF085716.1,4642,2089,36,"1,186999100","1,73240e+00","Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds",82300,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,adeno-associated virus 5,adeno-associated virus 5,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
AY388617.1,4693,3671,93,"3,005723000","4,42673e+00","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
AY388617.1,4693,1056,40,"1,327536800","1,03789e+00","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
AF085716.1,4642,3468,135,"4,508459600","3,80744e+00","Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds",82300,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,adeno-associated virus 5,adeno-associated virus 5,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AY388617.1,4693,4021,752,"24,294520000","2,09783e+01","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AY388617.1,4693,1410,166,"5,366058000","3,90195e+00","Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Mammals and birds,Human and other animals,Bovine adeno-associated virus,Bovine adeno-associated virus,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
AB010145.1,8251,6659,328,"6,088507700","2,10648e+00","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
AB010145.1,8251,2883,66,"1,287865600","1,06046e+00","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
MF352432.1,8295,2948,41,"0,738489870","6,55274e-01","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AB010145.1,8251,1042,28,"0,509443300","7,58058e-01","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
MF352432.1,8295,1729,30,"0,548311800","8,07896e-01","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
AB010145.1,8251,7899,1138,"21,087890000","1,87394e+01","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
MF352432.1,8295,3073,60,"1,134070000","9,82776e-01","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
AB010145.1,8251,6440,666,"12,368596000","9,82899e+00","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JN088541.1,8289,1313,20,"0,380636450","2,93812e-01","Canine kobuvirus US-PC0082, complete genome",1082189,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Canine kobuvirus US-PC0082,Canine kobuvirus US-PC0082,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JQ911763.1,8216,1817,23,"0,436027770","3,40886e-01","Canine kobuvirus CH-1, complete genome",1281440,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Canine kobuvirus CH-1,Canine kobuvirus CH-1,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
MF352432.1,8295,3446,40,"0,746838570","5,87199e-01","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
AB010145.1,8251,2086,58,"1,104801900","9,20291e-01","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
MF352432.1,8295,1358,30,"0,545119700","4,73488e-01","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AB010145.1,8251,7524,4721,"88,407730000","6,31178e+01","Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,Aichi virus 1,Aichi virus 1,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
MF352432.1,8295,5153,114,"2,161817000","1,51605e+00","Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Humans and other mammals,Human and other animals,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KY407744.1,8319,1526,13,"0,237238330","8,28061e-02","Bovine kobuvirus strain BKoV/EGY-1, complete genome",1476554,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus B,Cattle,Strictly animal,Bovine kobuvirus,Bovine kobuvirus,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
JQ404409.1,29462,1105,17,"0,086449236","9,01594e-02","Canine coronavirus strain 1-71, complete genome",11153,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Canine coronavirus,Canine coronavirus,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
KP849472.1,30004,1768,20,"0,099953110","1,04154e-01","Alphacoronavirus 1 strain 23/03, complete genome",693997,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,unclassified Alphacoronavirus 1 subspecies/strain,unclassified Alphacoronavirus 1 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
FJ938052.1,29306,1559,24,"0,112738370","1,08570e-01","Feline coronavirus UU11, complete genome",627432,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU11,Feline coronavirus UU11,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
GU553361.1,29264,1149,18,"0,086865425","8,15444e-02","Feline coronavirus UU22 isolate TCVSP-ROTTIER-00022, complete genome",711465,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU22,Feline coronavirus UU22,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KP849472.1,30004,1566,16,"0,080056270","7,06962e-02","Alphacoronavirus 1 strain 23/03, complete genome",693997,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,unclassified Alphacoronavirus 1 subspecies/strain,unclassified Alphacoronavirus 1 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
FJ938051.1,29232,1657,16,"0,077195520","7,43672e-02","Feline coronavirus RM, complete genome",502100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus RM,Feline coronavirus RM,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938052.1,29306,2248,30,"0,170256560","1,39086e-01","Feline coronavirus UU11, complete genome",627432,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU11,Feline coronavirus UU11,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938053.1,29277,1727,20,"0,101177600","9,28161e-02","Feline coronavirus UU7, complete genome",454955,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU7,Feline coronavirus UU7,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938056.1,29253,1526,17,"0,086760810","7,89584e-02","Feline coronavirus UU5, complete genome",454953,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU5,Feline coronavirus UU5,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938057.1,29275,2289,27,"0,147261800","1,25310e-01","Feline coronavirus UU15, complete genome",627433,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU15,Feline coronavirus UU15,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938058.1,28479,1520,23,"0,120406650","1,09729e-01","Feline coronavirus UU16, complete genome",627434,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU16,Feline coronavirus UU16,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938060.1,29256,2365,26,"0,132618710","1,20748e-01","Feline coronavirus UU2, complete genome",502101,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU2,Feline coronavirus UU2,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
FJ938062.1,29266,2387,30,"0,153420800","1,39276e-01","Feline coronavirus UU9, complete genome",627436,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU9,Feline coronavirus UU9,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
GU553361.1,29264,1413,14,"0,071443290","6,50001e-02","Feline coronavirus UU22 isolate TCVSP-ROTTIER-00022, complete genome",711465,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU22,Feline coronavirus UU22,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
HQ012370.1,29266,1781,24,"0,120861380","1,11421e-01","Feline coronavirus UU24, complete genome",871681,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU24,Feline coronavirus UU24,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
HQ012371.1,29274,1631,24,"0,124982834","1,11391e-01","Feline coronavirus UU31, complete genome",871682,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU31,Feline coronavirus UU31,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
HQ392470.1,29255,2888,37,"0,190551440","1,71839e-01","Feline coronavirus UU19, complete genome",906884,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU19,Feline coronavirus UU19,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
HQ392471.1,29252,1718,28,"0,143907640","1,30054e-01","Feline coronavirus UU20, complete genome",906885,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU20,Feline coronavirus UU20,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JN183882.1,29243,2112,26,"0,133262290","1,20801e-01","Feline coronavirus UU47, complete genome",1052157,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU47,Feline coronavirus UU47,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JN183883.1,29222,2308,24,"0,121594660","1,11589e-01","Feline coronavirus UU54, complete genome",1052158,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline coronavirus UU54,Feline coronavirus UU54,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JQ404409.1,29462,1720,15,"0,084811680","6,91750e-02","Canine coronavirus strain 1-71, complete genome",11153,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Canine coronavirus,Canine coronavirus,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KP849472.1,30004,2156,25,"0,124338450","1,13209e-01","Alphacoronavirus 1 strain 23/03, complete genome",693997,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,unclassified Alphacoronavirus 1 subspecies/strain,unclassified Alphacoronavirus 1 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
NC_002306.3,29355,1638,22,"0,109878440","1,01826e-01","Feline infectious peritonitis virus, complete genome",11135,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,Humans and other mammals,Human and other animals,Feline infectious peritonitis virus,Feline infectious peritonitis virus,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
